 ***NOTE***: Collecting stats for next round (10 sec)
CPU          total/sec     dropped/sec    squeezed/sec   collision/sec      rx_rps/sec  flow_limit/sec 
CPU:23           29707               0               0               0               0               0 
CPU:24           30795               0               0               0               0               0 
CPU:25           31356               0               0               0               0               0 
CPU:26           30679               0               0               0               0               0 
CPU:27               0               0               0               0               0               0 
CPU:28           31303               0               0               0               0               0 
CPU:29           30633               0               0               0               0               0 
CPU:30           29424               0               0               0               0               0 
CPU:31           29559               0               0               0               0               0 
CPU:32           31311               0               0               0               0               0 
CPU:33           31311               0               0               0               0               0 
CPU:34           30436               0               0               0               0               0 
CPU:35               0               0               0               0               0               0 
